r,gr
0.01875,20.273
0.0375,20.117
0.05625,19.868
0.075,19.539
0.09375,19.147
0.1125,18.708
0.13125,18.235
0.15,17.741
0.16875,17.233
0.1875,16.72
0.20625,16.206
0.225,15.695
0.24375,15.188
0.2625,14.687
0.28125,14.192
0.3,13.704
0.31875,13.224
0.3375,12.75
0.35625,12.283
0.375,11.824
0.39375,11.37
0.4125,10.924
0.43125,10.484
0.45,10.05
0.46875,9.6229
0.4875,9.2022
0.50625,8.7882
0.525,8.3808
0.54375,7.9802
0.5625,7.5866
0.58125,7.2003
0.6,6.8213
0.61875,6.4499
0.6375,6.0863
0.65625,5.7308
0.675,5.3836
0.69375,5.045
0.7125,4.7151
0.73125,4.3944
0.75,4.0829
0.76875,3.781
0.7875,3.4889
0.80625,3.2068
0.825,2.935
0.84375,2.6735
0.8625,2.4228
0.88125,2.1828
0.9,1.9538
0.91875,1.7359
0.9375,1.5291
0.95625,1.3336
0.975,1.1494
0.99375,0.97629
1.0125,0.81435
1.0312,0.66341
1.05,0.52332
1.0687,0.39387
1.0875,0.2748
1.1062,0.16585
1.125,0.066694
1.1438,-0.023019
1.1625,-0.10366
1.1812,-0.17563
1.2,-0.23934
1.2188,-0.29522
1.2375,-0.34371
1.2562,-0.38523
1.275,-0.42023
1.2937,-0.44914
1.3125,-0.47237
1.3313,-0.49032
1.35,-0.5034
1.3687,-0.51196
1.3875,-0.51637
1.4062,-0.51697
1.425,-0.51408
1.4437,-0.50799
1.4625,-0.49899
1.4812,-0.48733
1.5,-0.47328
1.5188,-0.45704
1.5375,-0.43885
1.5562,-0.41888
1.575,-0.39732
1.5938,-0.37434
1.6125,-0.35008
1.6312,-0.32468
1.65,-0.29827
1.6687,-0.27096
1.6875,-0.24285
1.7063,-0.21403
1.725,-0.18459
1.7437,-0.15458
1.7625,-0.12409
1.7812,-0.093176
1.8,-0.06193
1.8187,-0.030522
1.8375,0.00074428
1.8562,0.031361
1.875,0.060592
1.8937,0.087504
1.9125,0.11108
1.9312,0.13034
1.95,0.14454
1.9688,0.15322
1.9875,0.15628
2.0063,0.15395
2.025,0.14678
2.0437,0.13548
2.0625,0.12089
2.0812,0.10387
2.1,0.085256
2.1187,0.065801
2.1375,0.046164
2.1562,0.02689
2.175,0.0084163
2.1938,-0.0089234
2.2125,-0.024886
2.2312,-0.039307
2.25,-0.052086
2.2687,-0.063173
2.2875,-0.072563
2.3062,-0.080279
2.325,-0.08637
2.3438,-0.090901
2.3625,-0.09395
2.3813,-0.095604
2.4,-0.095956
2.4187,-0.0951
2.4375,-0.093134
2.4562,-0.090155
2.475,-0.086261
2.4937,-0.081548
2.5125,-0.076111
2.5312,-0.070045
2.55,-0.063442
2.5688,-0.056395
2.5875,-0.048994
2.6062,-0.041329
2.625,-0.03349
2.6437,-0.025564
2.6625,-0.01764
2.6812,-0.0098073
2.7,-0.0021538
2.7188,0.0052315
2.7375,0.012259
2.7563,0.018839
2.775,0.024881
2.7937,0.030296
2.8125,0.034998
2.8312,0.038908
2.85,0.041953
2.8687,0.044078
2.8875,0.045244
2.9062,0.045436
2.925,0.044665
2.9438,0.042971
2.9625,0.040419
2.9812,0.037102
3,0.033131
3.0187,0.028632
3.0375,0.02374
3.0562,0.018593
3.075,0.013325
3.0938,0.008062
3.1125,0.0029188
3.1313,-0.0020045
3.15,-0.0066232
3.1687,-0.010869
3.1875,-0.014688
3.2062,-0.018042
3.225,-0.020907
3.2437,-0.023269
3.2625,-0.025127
3.2812,-0.026486
3.3,-0.027361
3.3188,-0.027771
3.3375,-0.027743
3.3562,-0.027305
3.375,-0.026489
3.3937,-0.02533
3.4125,-0.023864
3.4312,-0.022129
3.45,-0.020163
3.4688,-0.018004
3.4875,-0.015692
3.5063,-0.013265
3.525,-0.010761
3.5437,-0.0082175
3.5625,-0.0056715
3.5812,-0.0031581
3.6,-0.00071131
3.6187,0.0016364
3.6375,0.0038547
3.6562,0.0059152
3.675,0.0077922
3.6937,0.0094627
3.7125,0.010907
3.7312,0.012108
3.75,0.013054
3.7687,0.013736
3.7875,0.014149
3.8062,0.014294
3.825,0.014177
3.8438,0.013806
3.8625,0.013197
3.8812,0.012368
3.9,0.011342
3.9187,0.010145
3.9375,0.0088077
3.9562,0.0073603
3.975,0.0058353
3.9937,0.0042656
4.0125,0.0026833
4.0312,0.0011192
4.05,-0.00039784
4.0687,-0.0018419
4.0875,-0.0031898
4.1063,-0.004422
4.125,-0.0055225
4.1437,-0.006479
4.1625,-0.0072825
4.1812,-0.0079276
4.2,-0.0084123
4.2188,-0.0087373
4.2375,-0.0089062
4.2562,-0.0089247
4.275,-0.0088008
4.2938,-0.0085441
4.3125,-0.0081659
4.3312,-0.0076783
4.35,-0.0070945
4.3687,-0.0064285
4.3875,-0.0056946
4.4062,-0.0049073
4.425,-0.0040811
4.4437,-0.0032305
4.4625,-0.0023695
4.4813,-0.0015118
4.5,-0.00067045
4.5187,0.00014238
4.5375,0.00091528
4.5562,0.0016378
4.575,0.0023008
4.5938,0.002896
4.6125,0.0034166
4.6312,0.0038572
4.65,0.0042136
4.6688,0.0044832
4.6875,0.0046647
4.7062,0.0047584
4.725,0.0047659
4.7437,0.0046902
4.7625,0.0045357
4.7812,0.0043079
4.8,0.0040136
4.8187,0.0036601
4.8375,0.0032561
4.8563,0.0028104
4.875,0.0023326
4.8937,0.0018323
4.9125,0.0013192
4.9312,0.00080299
4.95,0.00029286
4.9688,-0.00020245
4.9875,-0.00067488
5.0062,-0.0011171
5.025,-0.0015228
5.0438,-0.0018866
5.0625,-0.0022039
5.0812,-0.0024716
5.1,-0.0026873
5.1187,-0.0028498
5.1375,-0.0029588
5.1562,-0.003015
5.175,-0.0030199
5.1937,-0.0029759
5.2125,-0.002886
5.2313,-0.0027539
5.25,-0.0025836
5.2687,-0.0023797
5.2875,-0.002147
5.3062,-0.0018907
5.325,-0.0016159
5.3438,-0.001328
5.3625,-0.001032
5.3812,-0.00073323
5.4,-0.00043647
5.4188,-0.00014644
5.4375,0.00013249
5.4562,0.0003963
5.475,0.00064138
5.4937,0.00086454
5.5125,0.0010631
5.5312,0.0012348
5.55,0.001378
5.5687,0.0014914
5.5875,0.0015744
5.6063,0.001627
5.625,0.0016493
5.6437,0.0016422
5.6625,0.0016071
5.6812,0.0015456
5.7,0.0014598
5.7188,0.0013521
5.7375,0.0012252
5.7562,0.001082
5.775,0.00092562
5.7938,0.00075917
5.8125,0.00058591
5.8312,0.00040909
5.85,0.00023185
5.8687,5.7245e-05
5.8875,-0.00011186
5.9062,-0.0002728
5.925,-0.00042317
5.9437,-0.00056085
5.9625,-0.00068402
5.9813,-0.00079121
6,-0.00088128
6.0187,-0.00095342
6.0375,-0.0010072
6.0562,-0.0010424
6.075,-0.0010594
6.0938,-0.0010586
6.1125,-0.0010407
6.1312,-0.0010068
6.15,-0.00095826
6.1688,-0.00089636
6.1875,-0.00082276
6.2062,-0.00073917
6.225,-0.0006474
6.2437,-0.0005493
6.2625,-0.00044676
6.2812,-0.00034165
6.3,-0.00023581
6.3187,-0.00013098
6.3375,-2.8863e-05
6.3563,6.8999e-05
6.375,0.00016118
6.3937,0.0002464
6.4125,0.00032355
6.4312,0.00039171
6.45,0.00045012
6.4688,0.00049823
6.4875,0.00053567
6.5062,0.00056225
6.525,0.00057798
6.5438,0.00058305
6.5625,0.0005778
6.5812,0.00056274
6.6,0.00053852
6.6187,0.00050592
6.6375,0.00046582
6.6562,0.0004192
6.675,0.00036709
6.6937,0.0003106
6.7125,0.00025085
6.7313,0.00018899
6.75,0.00012613
6.7687,6.3372e-05
6.7875,1.7774e-06
6.8062,-5.7667e-05
6.825,-0.00011404
6.8438,-0.00016653
6.8625,-0.0002144
6.8812,-0.00025702
6.9,-0.00029391
6.9188,-0.00032467
6.9375,-0.00034903
6.9562,-0.00036684
6.975,-0.00037808
6.9937,-0.00038282
7.0125,-0.00038124
7.0312,-0.00037365
7.05,-0.00036039
7.0687,-0.00034194
7.0875,-0.0003188
7.1063,-0.00029156
7.125,-0.00026084
7.1437,-0.00022728
7.1625,-0.00019155
7.1812,-0.00015435
7.2,-0.00011633
7.2188,-7.8173e-05
7.2375,-4.0501e-05
7.2562,-3.9196e-06
7.275,3.1013e-05
7.2937,6.3789e-05
7.3125,9.3956e-05
7.3312,0.00012112
7.35,0.00014497
7.3687,0.00016523
7.3875,0.00018172
7.4062,0.00019432
7.425,0.00020299
7.4437,0.00020773
7.4625,0.00020864
7.4812,0.00020585
7.5,0.00019956
7.5187,0.00019002
7.5375,0.00017752
7.5562,0.00016239
7.575,0.00014498
7.5938,0.00012569
7.6125,0.00010491
7.6312,8.3055e-05
7.65,6.0525e-05
7.6687,3.7731e-05
7.6875,1.5064e-05
7.7062,-7.0995e-06
7.725,-2.8407e-05
7.7437,-4.8536e-05
7.7625,-6.7195e-05
7.7812,-8.413e-05
7.8,-9.9124e-05
7.8187,-0.000112
7.8375,-0.00012264
7.8562,-0.00013094
7.875,-0.00013686
7.8937,-0.00014039
7.9125,-0.00014157
7.9312,-0.00014048
7.95,-0.00013721
7.9688,-0.00013193
7.9875,-0.00012478
8.0062,-0.00011596
8.025,-0.00010569
8.0437,-9.4198e-05
8.0625,-8.1717e-05
8.0812,-6.8497e-05
8.1,-5.4784e-05
8.1188,-4.0826e-05
8.1375,-2.6863e-05
8.1562,-1.3126e-05
8.175,1.6691e-07
8.1937,1.2814e-05
8.2125,2.4634e-05
8.2312,3.5463e-05
8.25,4.5164e-05
8.2687,5.3621e-05
8.2875,6.0745e-05
8.3063,6.6473e-05
8.325,7.0767e-05
8.3438,7.3614e-05
8.3625,7.5025e-05
8.3812,7.5036e-05
8.4,7.3704e-05
8.4187,7.1106e-05
8.4375,6.7336e-05
8.4562,6.2505e-05
8.475,5.6737e-05
8.4938,5.0166e-05
8.5125,4.2935e-05
8.5312,3.5192e-05
8.55,2.7086e-05
8.5687,1.8769e-05
8.5875,1.0389e-05
8.6062,2.0873e-06
8.625,-5.9981e-06
8.6437,-1.3741e-05
8.6625,-2.1024e-05
8.6813,-2.7744e-05
8.7,-3.3809e-05
8.7188,-3.9145e-05
8.7375,-4.369e-05
8.7562,-4.7399e-05
8.775,-5.0243e-05
8.7937,-5.2207e-05
8.8125,-5.3293e-05
8.8312,-5.3517e-05
8.85,-5.2909e-05
8.8688,-5.1511e-05
8.8875,-4.9377e-05
8.9062,-4.6571e-05
8.925,-4.3167e-05
8.9437,-3.9242e-05
8.9625,-3.4884e-05
8.9812,-3.018e-05
9,-2.5223e-05
9.0187,-2.0104e-05
9.0375,-1.4913e-05
